"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
55,118,"KEN","Kenya",2,"Bomet",12,"Sotik",55,"Rongena/Manaret",970,"","Ward","Ward","",""
56,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",56,"Bumula",1090,"","Ward","Ward","",""
57,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",57,"Kabula",1092,"","Ward","Ward","",""
58,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",58,"Khasoko",1091,"","Ward","Ward","",""
59,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",59,"Kimaeti",1093,"","Ward","Ward","",""
60,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",60,"Siboti",1095,"","Ward","Ward","",""
61,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",61,"South Bukusu",1089,"","Ward","Ward","",""
62,118,"KEN","Kenya",3,"Bungoma",13,"Bumula",62,"West Bukusu",1094,"","Ward","Ward","",""
63,118,"KEN","Kenya",3,"Bungoma",14,"Kabuchai",63,"Bwake/Luuya",1087,"","Ward","Ward","",""
64,118,"KEN","Kenya",3,"Bungoma",14,"Kabuchai",64,"Kabuchai/Chwele",1085,"","Ward","Ward","",""
65,118,"KEN","Kenya",3,"Bungoma",14,"Kabuchai",65,"Mukuyuni",1088,"","Ward","Ward","",""
66,118,"KEN","Kenya",3,"Bungoma",14,"Kabuchai",66,"West Nalondo",1086,"","Ward","Ward","",""
67,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",67,"Bukembe East",1097,"","Ward","Ward","",""
68,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",68,"Bukembe West",1096,"","Ward","Ward","",""
69,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",69,"East Sang'Alo",1101,"","Ward","Ward","",""
70,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",70,"Khalaba",1099,"","Ward","Ward","",""
71,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",71,"Marakaru/Tuuti",1102,"","Ward","Ward","",""
72,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",72,"Musikoma",1100,"","Ward","Ward","",""
73,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",73,"Township",1098,"","Ward","Ward","",""
74,118,"KEN","Kenya",3,"Bungoma",15,"Kanduyi",74,"West Sang'Alo",1103,"","Ward","Ward","",""
75,118,"KEN","Kenya",3,"Bungoma",16,"Kimilili",75,"Kamukuywa",1114,"","Ward","Ward","",""
76,118,"KEN","Kenya",3,"Bungoma",16,"Kimilili",76,"Kibingei",1111,"","Ward","Ward","",""
77,118,"KEN","Kenya",3,"Bungoma",16,"Kimilili",77,"Kimilili",1112,"","Ward","Ward","",""
78,118,"KEN","Kenya",3,"Bungoma",16,"Kimilili",78,"Maeni",1113,"","Ward","Ward","",""
79,118,"KEN","Kenya",3,"Bungoma",17,"Likuyani",79,"Kongoni",999,"","Ward","Ward","",""
80,118,"KEN","Kenya",3,"Bungoma",17,"Likuyani",80,"Likuyani",997,"","Ward","Ward","",""
81,118,"KEN","Kenya",3,"Bungoma",17,"Likuyani",81,"Nzoia",1000,"","Ward","Ward","",""
82,118,"KEN","Kenya",3,"Bungoma",17,"Likuyani",82,"Sango",998,"","Ward","Ward","",""
83,118,"KEN","Kenya",3,"Bungoma",17,"Likuyani",83,"Sinoko",1001,"","Ward","Ward","",""
84,118,"KEN","Kenya",3,"Bungoma",18,"Lugari",84,"Chekalini",994,"","Ward","Ward","",""
85,118,"KEN","Kenya",3,"Bungoma",18,"Lugari",85,"Lugari",992,"","Ward","Ward","",""
86,118,"KEN","Kenya",3,"Bungoma",18,"Lugari",86,"Lumakanda",993,"","Ward","Ward","",""
87,118,"KEN","Kenya",3,"Bungoma",18,"Lugari",87,"Mautuma",991,"","Ward","Ward","",""
88,118,"KEN","Kenya",3,"Bungoma",19,"Mt. Elgon",88,"Cheptais",1076,"","Ward","Ward","",""
89,118,"KEN","Kenya",3,"Bungoma",19,"Mt. Elgon",89,"Chepyuk",1078,"","Ward","Ward","",""
90,118,"KEN","Kenya",3,"Bungoma",19,"Mt. Elgon",90,"Chesikaki",1077,"","Ward","Ward","",""
91,118,"KEN","Kenya",3,"Bungoma",19,"Mt. Elgon",91,"Elgon",1081,"","Ward","Ward","",""
92,118,"KEN","Kenya",3,"Bungoma",19,"Mt. Elgon",92,"Kapkateny",1079,"","Ward","Ward","",""
93,118,"KEN","Kenya",3,"Bungoma",19,"Mt. Elgon",93,"Kaptama",1080,"","Ward","Ward","",""
94,118,"KEN","Kenya",3,"Bungoma",20,"Sirisia",94,"Lwandanyi",1084,"","Ward","Ward","",""
95,118,"KEN","Kenya",3,"Bungoma",20,"Sirisia",95,"Malakisi/South Kulisiru",1083,"","Ward","Ward","",""
96,118,"KEN","Kenya",3,"Bungoma",20,"Sirisia",96,"Namwela",1082,"","Ward","Ward","",""
97,118,"KEN","Kenya",3,"Bungoma",21,"Tongaren",97,"Mbakalo",1115,"","Ward","Ward","",""
98,118,"KEN","Kenya",3,"Bungoma",21,"Tongaren",98,"Milima",1117,"","Ward","Ward","",""
99,118,"KEN","Kenya",3,"Bungoma",21,"Tongaren",99,"Naitiri/Kabuyefwe",1116,"","Ward","Ward","",""
100,118,"KEN","Kenya",3,"Bungoma",21,"Tongaren",100,"Ndalu/ Tabani",1118,"","Ward","Ward","",""
101,118,"KEN","Kenya",3,"Bungoma",21,"Tongaren",101,"Soysambu/ Mitua",1120,"","Ward","Ward","",""
102,118,"KEN","Kenya",3,"Bungoma",21,"Tongaren",102,"Tongaren",1119,"","Ward","Ward","",""
103,118,"KEN","Kenya",3,"Bungoma",22,"Webute West",103,"Bokoli",1110,"","Ward","Ward","",""
104,118,"KEN","Kenya",3,"Bungoma",22,"Webute West",104,"Matulo",1109,"","Ward","Ward","",""
105,118,"KEN","Kenya",3,"Bungoma",22,"Webute West",105,"Misikhu",1107,"","Ward","Ward","",""
106,118,"KEN","Kenya",3,"Bungoma",22,"Webute West",106,"Sitikho",1108,"","Ward","Ward","",""
107,118,"KEN","Kenya",3,"Bungoma",23,"Webuye East",107,"Maraka",1106,"","Ward","Ward","",""
108,118,"KEN","Kenya",3,"Bungoma",23,"Webuye East",108,"Mihuu",1104,"","Ward","Ward","",""
109,118,"KEN","Kenya",3,"Bungoma",23,"Webuye East",109,"Ndivisi",1105,"","Ward","Ward","",""
110,118,"KEN","Kenya",4,"Busia",24,"Budalangi",110,"Bunyala Central",1152,"","Ward","Ward","",""
111,118,"KEN","Kenya",4,"Busia",24,"Budalangi",111,"Bunyala North",1153,"","Ward","Ward","",""
112,118,"KEN","Kenya",4,"Busia",24,"Budalangi",112,"Bunyala South",1155,"","Ward","Ward","",""
113,118,"KEN","Kenya",4,"Busia",24,"Budalangi",113,"Bunyala West",1154,"","Ward","Ward","",""
114,118,"KEN","Kenya",4,"Busia",25,"Butula",114,"Elugulu",1147,"","Ward","Ward","",""
